1	after `stall_recovery_required=true` recovery succeeds (`cleared=true`), the plan’s `next_action=stall-recovery` branch proceeds to standalone `step-18.sh --phase finalize` without running the existing prompt-side step 18a.5 gate (`step18-cleanup.md` predicates, then `step18a5-filing.md` when eligible). current contract (`stall-recovery.md` step 7) assigns escalation-success filing only to step 18a.5 before finalize. recovery that records escalation evidence and clears stall layers would never run escalation-success filing.
1	the new `step_18_gate_finalize_main` composite lists “normalized outcome did not succeed” as an 18a.5 skip predicate but never specifies calling `stall-recovery normalize-outcome` (with `--implement-tmpdir` and `--in-memory-stall-tracking`) or reading an equivalent cached `implement_outcome_succeeded` artifact before deciding `next_action=escalation-filing` vs inline finalize. without that normative source, the composite may wrongly skip or trigger escalation-success filing on runs where outcome was never normalized.
1	adding `("implement", "step-18-gate-finalize")` grows the `implement_dispatch` affected-registry set; `assert checked == 39` in `python/test_cli.py` will fail and block the cli test suite.
1	`scripts/test-implement-structure.sh` near-check at lines 319–324 still searches for `step-18.sh --phase gate`. after the plan removes the standalone gate fence, the structure harness fails even when the new composite flow is correct.
1	step 18 entry mandatory-reads `skills/implement/references/step18-cleanup.md` before acting, but the file still documents separate `--phase gate` and `--phase finalize` bash calls with prompt-side 18a.5 between them. after the composite fold, stale normative text can mis-route orchestrators on stall layers, 18a.5 skip predicates, marker sources, and fence sequencing; structure-test needles will also contradict the live fence graph.
1	the plan retargets green-path marker extraction to captured composite stdout in skill prose but omits `skills/shared/final-summary-emit.md` (row 46 still binds step 18b only to `step-18.sh --phase finalize` stdout) and leaves stale skill handoff text (e.g. line 879, never #17) claiming finalize-only marker source. orchestrators, `test-render-cost-line-callsites.sh`, and structure tests that follow both surfaces may emit or ignore markers from the wrong capture on the dominant no-stall path.
1	the composite can return a non-zero child finalize rc while still emitting `next_action=finalize-done`. if the orchestrator treats a non-zero bash rc as a hard stop before parsing stdout, green-path marker extraction and teardown kv relay are skipped despite forwarded markers; alternatively the `finalize-done` branch may finish and mask a teardown or final-report failure.
1	the plan adds composite `next_action` branching but does not retire the unconditional `#### step 18a.5` skip-predicate block in skill.md. prompt-side re-evaluation of skip predicates after the composite already emitted `next_action=escalation-filing` can skip filing or conflict with composite eligibility (especially once normalize-outcome is required on the green path).
2	the plan bumps `assert checked == 39` to `40`, but `test_affected_registry_targets_resolve_to_domain_modules` only increments `checked` for modules in the fixed `affected` set (`larch.git.*`, `ci`). the new `("implement", "step-18-gate-finalize")` entry targets `implement_dispatch`, which is outside that set, so `checked` stays 39 and the planned assertion fails. ci can break on a false registry-count change even when the new verb registration is otherwise correct.
2	the plan rewrites body paragraphs but leaves `step18-cleanup.md` frontmatter and intro describing the retired two-fence (`--phase gate` + `--phase finalize`) no-stall flow. **when to load** still says read before the step 18a gate fence. step 18 mandatory-reads this file before acting; stale load timing and fence sequencing can mis-route orchestrators after the composite fold (especially around composite-owned vs prompt-side 18a.5 boundaries).
2	the structure harness update list is incomplete for the composite fold. it still requires gate-specific needles (`proceed without re-running \`--phase gate\``), unconditional step 18a.5-before-finalize prose, step 18b marker-source assertions bound only to finalize stdout, and finalize-only tail-relay needles. after a correct skill rewrite, `make test-implement-structure` can fail; green-path marker-source and teardown-kv regressions can slip through.
2	after the fold, the dominant green path emits summary markers and teardown/status kvs from `python/cli.py implement step-18-gate-finalize` composite stdout, but skill prose still binds step 18b marker extraction, status kvs, and green-path teardown tail relay to captured `step-18.sh --phase finalize` stdout only. an orchestrator following skill literally on the no-stall path may parse markers from composite stdout yet skip or mis-parse `rename_*` / `finalize_*` tail kvs because no standalone finalize capture exists.
2	skill line 899 tells the orchestrator not to run step 18a.5 or finalize whenever `stall_recovery_required=true`, without scoping that ban to the active-stall procedure. the revised plan requires prompt-side 18a.5 after successful recovery (`cleared=true`) before standalone finalize. literal compliance skips escalation-success filing after a recovered stall; the structure harness still pins the absolute prohibition string.
2	unconditional "step 18a.5 runs before this fence and remains prompt-side" prose in skill step 18b and `step18-cleanup.md` teardown survives the composite green path. on `next_action=finalize-done`, finalize runs inside the composite with composite-owned 18a.5 eligibility; leaving this text forces contradictory skill prose or a failing structure harness run.
3	the plan replaces the `--phase gate` fence with `implement step-18-gate-finalize` and adds `next_action` branching, but does not require retargeting the step 18a block that still says "use the gate phase below", "parse gate stdout for `stall_recovery_required`", and "the gate phase prints ⏩ 18a…". an orchestrator can follow stale gate instructions, skip parsing stall kvs from composite stdout, or mis-route before `next_action` handling.
3	`step_18_gate_finalize_main()` reimplements stall-layer / `--stall-tracking-memory` binding without pinning the `step-18.sh` `run_gate` contract. the shell helper treats empty arg, explicit `true`/`false`, and arbitrary non-empty strings differently (`step-18.sh:152-157`). without parity requirements or tests, python can disagree on memory-layer values and emit wrong `stall_recovery_required` / `next_action`, causing spurious stall-recovery breakout or a missed stall before finalize.
3	the plan adds `step_18_gate_finalize_main()` with subprocess calls to `stall-recovery normalize-outcome` and `bash … step-18.sh --phase finalize` but does not list subprocess-via-runner baseline maintenance. new direct `subprocess.run` sites in `implement_dispatch.py` are ratcheted by `python/cli.py lint subprocess-via-runner` (part of `make py-lint`); without baseline regen or approved `# lint-subprocess-via-runner: ok` pragmas, ci can fail on an otherwise correct fold.
